Taxon	Chow.M1	Chow.M2	Chow.F1	Chow.F2	Chow.F3	Glut.F1	Glut.F2	Glut.F3	Glut.F4	Glut.F5	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	KO.M1	KO.M2	KO.F1	KO.F2	7294.pre	7484.pre	7483.pre	7293.pre	7494.pre	7280.pre	7294.neg	7484.neg	7483.neg	7293.neg	7494.neg	7280.neg	7294.pos	7484.pos	7483.pos	7293.pos	7494.pos	7280.pos
Unassigned;Other;Other;Other	0.00317581742527	0.00321350842085	0.00292973349788	0.00275258054426	0.00268834352474	0.0036253776435	0.00369106483738	0.00645701626412	0.00400637377646	0.00402464065708	0.00398942801576	0.0045843821631	0.00400956341343	0.00289523624155	0.00384498435523	0.00252036076569	0.00326074000919	0.00277453858217	0.00228513995297	0.0016506586017	0.00202135106755	0.00157713977401	0.0017750487567	0.00178454258048	0.00234649667246	0.0154264231131	0.000371099422376	0.00055551440634	0.00149952252046	0.000605060961964	0.0107935645917	0.00104550707093	0.0118918918919	0.00517149593125	0.00017205189085	0.00429409300377	0.00347445849293
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales	1.15905745448e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.35084022262e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.52455665433e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.07009405024e-05	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114806310644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Holophagae;o__Holophagales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.80863355926e-06	0.0	0.0	0.0	9.48190851855e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.44103781701e-05	0.0	0.0
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000811215048039	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00129287398281	0.0	0.0	0.0
k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00190128526884	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__;o__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15688951676e-05	0.0	0.0	0.0028338744291	0.0	0.00230689279286	0.0	0.0	0.0
