Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
Unassigned;Other;Other;Other;Other;Other;Other	0.00142812884896	0.0010291566725	0.00139653405639	0.00129180845802	0.00146978299086	0.000226014238897	0.00021725577617	0.000368128272251	0.00166064177729	0.000912672935786	0.000761984243254	0.000778248774672	0.00254643149165	0.000896226415094	0.001515489191	0.000917652365288
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.00165303307955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__	0.0	0.0	9.06840296355e-06	0.0	7.20481858267e-06	0.000472575226785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__mucilaginosa	7.55623729608e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.36343804538e-05	0.0	0.0	4.53562049556e-06	0.0	0.0	0.0	0.0	1.55534299201e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.000103904936429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__halophobica	0.0	0.0	0.0	0.0	0.0	0.0	1.88918066235e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;Other	0.190507854709	0.0609111356412	0.224016758409	0.101934759982	0.0751030289057	0.000410934979813	0.000443957455651	2.04515706806e-05	0.0	2.51771844355e-05	2.26781024778e-05	4.13962114187e-05	3.89362613402e-05	0.0193396226415	0.0121387712651	9.33205795208e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	0.00272024542659	0.00187572103214	0.00353667715579	0.0020078394319	0.00146978299086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000433962264151	0.000326870217666	7.77671496007e-06
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__adolescentis	0.00126944786574	0.000929560865488	0.00155976530973	0.000871047988839	0.000612409579527	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000122641509434	0.000148577371666	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__longum	0.000680061356647	0.000107895457601	0.000444351745214	0.000221452878518	0.000252168650393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000528301886792	0.000237723794666	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__pseudolongum	3.02249491843e-05	2.48989517541e-05	9.97524325991e-05	3.69088130864e-05	3.60240929133e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43396226415e-06	7.42886858331e-06	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__	1.51124745922e-05	2.48989517541e-05	0.0	2.21452878518e-05	0.0	0.0	0.0	0.0	0.0	6.29429610887e-06	4.53562049556e-06	1.65584845675e-05	1.55745045361e-05	0.0	5.20020800832e-05	3.88835748003e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__	0.000264468305363	0.000199191614033	9.06840296355e-05	0.000310034029926	0.000122481915905	1.02733744953e-05	7.55672264939e-05	1.36343804538e-05	1.01258644957e-05	0.000321009101552	0.000403670224105	0.00118393164658	0.000467235136082	0.000367924528302	0.000460589852166	0.000894322220408
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__	7.55623729608e-06	0.0	0.0	0.0	7.20481858267e-06	0.0	0.0	6.81719022688e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__aerofaciens	0.0	0.0	0.0	7.38176261728e-06	0.0	0.0	0.000576200102016	0.0	1.01258644957e-05	0.0	0.0	8.27924228375e-06	0.0	0.0	0.0	0.0
