Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
Unassigned;Other;Other;Other;Other;Other	0.00142812884896	0.0010291566725	0.00139653405639	0.00129180845802	0.00146978299086	0.000226014238897	0.00021725577617	0.000368128272251	0.00166064177729	0.000912672935786	0.000761984243254	0.000778248774672	0.00254643149165	0.000896226415094	0.001515489191	0.000917652365288
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.00165303307955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium	0.0	0.0	9.06840296355e-06	0.0	7.20481858267e-06	0.000472575226785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia	7.55623729608e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.36343804538e-05	0.0	0.0	4.53562049556e-06	0.0	0.0	0.0	0.0	1.55534299201e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia	0.0	0.0	0.0	0.0	0.0	0.0	0.000122796743053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.195207834307	0.0638492119482	0.229657305052	0.105072009094	0.0774734142194	0.000410934979813	0.000443957455651	2.04515706806e-05	0.0	2.51771844355e-05	2.26781024778e-05	4.13962114187e-05	3.89362613402e-05	0.0204339622642	0.0128593715177	0.000101097294481
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__	1.51124745922e-05	2.48989517541e-05	0.0	2.21452878518e-05	0.0	0.0	0.0	0.0	0.0	6.29429610887e-06	4.53562049556e-06	1.65584845675e-05	1.55745045361e-05	0.0	5.20020800832e-05	3.88835748003e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia	0.000264468305363	0.000199191614033	9.06840296355e-05	0.000310034029926	0.000122481915905	1.02733744953e-05	7.55672264939e-05	1.36343804538e-05	1.01258644957e-05	0.000321009101552	0.000403670224105	0.00118393164658	0.000467235136082	0.000367924528302	0.000460589852166	0.000894322220408
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium	7.55623729608e-06	0.0	0.0	0.0	7.20481858267e-06	0.0	0.0	6.81719022688e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	0.0	0.0	0.0	7.38176261728e-06	0.0	0.0	0.000576200102016	0.0	1.01258644957e-05	0.0	0.0	8.27924228375e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55745045361e-05	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	0.00144324132355	0.000995958070165	0.00106100314674	0.00116631849353	0.00135450589354	0.031755000565	0.0638070768708	0.0025359947644	0.000860698482133	0.0014917481778	0.001528504107	0.000918995893496	0.00534984230814	0.000820754716981	0.00110690141891	0.00114317709913
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	2.26687118882e-05	0.0	0.0	2.21452878518e-05	6.4843367244e-05	0.00194166777962	0.00810458504147	9.54406631763e-05	1.01258644957e-05	0.0	2.26781024778e-05	8.27924228375e-06	0.0	0.0	0.0	3.11068598403e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	5.28936610725e-05	1.65993011694e-05	1.81368059271e-05	0.000118108201876	2.88192743307e-05	0.0173106360246	1.88918066235e-05	1.36343804538e-05	2.02517289914e-05	3.14714805443e-05	2.72137229734e-05	0.0	4.67235136082e-05	4.71698113208e-05	4.45732114999e-05	7.77671496007e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;Other	0.0	0.0	0.0	7.38176261728e-06	0.0	0.00336966683447	0.0195908034685	2.04515706806e-05	1.01258644957e-05	1.25885922177e-05	1.36068614867e-05	2.48377268512e-05	0.0016820464899	0.0	7.42886858331e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__	2.26687118882e-05	4.14982529236e-05	5.44104177813e-05	0.000228834641136	2.1614455748e-05	0.00232178263594	0.000642321425198	0.000811245636998	0.00221756432455	0.000132180218286	0.000108854891893	0.000206981057094	0.0319744578126	2.83018867925e-05	0.000118861897333	0.000202194588962
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__	0.277903295275	0.227734112394	0.222819729217	0.321955576553	0.417043718839	0.0063694921871	0.00339107928891	0.00218831806283	0.497959638304	0.333396276294	0.605659547254	0.386441912836	0.640299030487	0.135650943396	0.39208082609	0.595921890675
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__	2.26687118882e-05	8.29965058471e-06	9.06840296355e-06	7.38176261728e-06	7.20481858267e-06	0.000256834362383	0.00497799104528	0.0	0.0	0.0	4.53562049556e-06	1.65584845675e-05	0.0	0.0	7.42886858331e-06	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas	7.55623729608e-06	0.0	0.0	0.0	0.0	0.00015410061743	0.000453403358963	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter	0.0	6.63972046777e-05	0.0	3.69088130864e-05	7.20481858267e-06	0.000215740864402	0.000557308295392	0.000170429755672	0.000263272476888	1.25885922177e-05	4.53562049556e-06	2.48377268512e-05	0.00362107230464	9.43396226415e-06	0.0	1.55534299201e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231	0.0	0.0	0.0	0.0	2.1614455748e-05	0.000462301852289	0.0	6.81719022688e-06	0.0	0.0	0.0	8.27924228375e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella	0.0	0.0	0.0	1.47635252346e-05	0.0	0.00173620028971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.43396226415e-06	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga	7.55623729608e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.81719022688e-06	0.0	0.0	4.53562049556e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium	0.0	0.0	0.0	0.0	0.0	0.00017464736642	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2;f__;g__	0.0	0.0	0.0	0.0	0.0	0.000164373991925	0.0	0.0	0.0	6.29429610887e-06	0.0	8.27924228375e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__;g__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81719022688e-06	0.0	6.29429610887e-06	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	2.26687118882e-05	1.65993011694e-05	0.0	1.47635252346e-05	2.88192743307e-05	5.13668724766e-05	0.0	3.40859511344e-05	1.01258644957e-05	1.88828883266e-05	3.62849639645e-05	1.65584845675e-05	1.55745045361e-05	9.43396226415e-06	7.42886858331e-06	2.33301448802e-05
